,period,subba-name,value,value-units
3949,2019-01-17T10,Dominion Virginia Power zone,12819,megawatthours
3948,2019-01-17T11,Dominion Virginia Power zone,13632,megawatthours
3947,2019-01-17T12,Dominion Virginia Power zone,14762,megawatthours
3946,2019-01-17T13,Dominion Virginia Power zone,15236,megawatthours
3945,2019-01-17T14,Dominion Virginia Power zone,14761,megawatthours
3944,2019-01-17T15,Dominion Virginia Power zone,14212,megawatthours
3943,2019-01-17T16,Dominion Virginia Power zone,13846,megawatthours
3942,2019-01-17T17,Dominion Virginia Power zone,13499,megawatthours
3941,2019-01-17T18,Dominion Virginia Power zone,13220,megawatthours
3940,2019-01-17T19,Dominion Virginia Power zone,12911,megawatthours
3939,2019-01-17T20,Dominion Virginia Power zone,12687,megawatthours
3938,2019-01-17T21,Dominion Virginia Power zone,12873,megawatthours
3937,2019-01-17T22,Dominion Virginia Power zone,13412,megawatthours
3936,2019-01-17T23,Dominion Virginia Power zone,14217,megawatthours
3935,2019-01-18T00,Dominion Virginia Power zone,14408,megawatthours
