BA Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh)
ISNE,2/14/2023 8 a.m. EST,14153,14220,11254,-2899
ISNE,2/14/2023 9 a.m. EST,13452,13450,10556,-2896
ISNE,2/14/2023 10 a.m. EST,12360,12490,9711,-2649
ISNE,2/14/2023 11 a.m. EST,11483,11800,9396,-2087
ISNE,2/14/2023 12 p.m. EST,10952,11350,8675,-2277
ISNE,2/14/2023 1 p.m. EST,10653,11140,8821,-1832
ISNE,2/14/2023 2 p.m. EST,10628,11160,9106,-1522
ISNE,2/14/2023 3 p.m. EST,10852,11530,9260,-1592
ISNE,2/14/2023 4 p.m. EST,11796,12480,9458,-2338
ISNE,2/14/2023 5 p.m. EST,13340,13830,10665,-2675
ISNE,2/14/2023 6 p.m. EST,14740,15340,11591,-3149
ISNE,2/14/2023 7 p.m. EST,15113,15650,12093,-3020
ISNE,2/14/2023 8 p.m. EST,14807,15280,11698,-3109
ISNE,2/14/2023 9 p.m. EST,14290,14680,11126,-3164
ISNE,2/14/2023 10 p.m. EST,13579,13880,10650,-2929
ISNE,2/14/2023 11 p.m. EST,12661,12890,9766,-2895
ISNE,2/15/2023 12 a.m. EST,12141,12030,9511,-2630
ISNE,2/15/2023 1 a.m. EST,11663,11380,9227,-2436
ISNE,2/15/2023 2 a.m. EST,11610,11090,8998,-2612
ISNE,2/15/2023 3 a.m. EST,11513,10920,8957,-2556
ISNE,2/15/2023 4 a.m. EST,11550,10950,9027,-2523
ISNE,2/15/2023 5 a.m. EST,11881,11240,9385,-2496
ISNE,2/15/2023 6 a.m. EST,12547,12110,9801,-2746
ISNE,2/15/2023 7 a.m. EST,13652,13420,10993,-2659
ISNE,2/15/2023 8 a.m. EST,14496,14130,12146,-2350
ISNE,2/15/2023 9 a.m. EST,14573,13940,12153,-2420
ISNE,2/15/2023 10 a.m. EST,13909,13360,11453,-2456
ISNE,2/15/2023 11 a.m. EST,13114,12730,10554,-2560
ISNE,2/15/2023 12 p.m. EST,12352,12220,10107,-2245
ISNE,2/15/2023 1 p.m. EST,11659,11830,9473,-2186
ISNE,2/15/2023 2 p.m. EST,11429,11710,9605,-1824
ISNE,2/15/2023 3 p.m. EST,11714,11890,9837,-1877
ISNE,2/15/2023 4 p.m. EST,12307,12580,10169,-2138
ISNE,2/15/2023 5 p.m. EST,13388,13690,11353,-2035
ISNE,2/15/2023 6 p.m. EST,14588,14920,12082,-2506
ISNE,2/15/2023 7 p.m. EST,14870,15030,12418,-2452
ISNE,2/15/2023 8 p.m. EST,14486,14590,12028,-2458
ISNE,2/15/2023 9 p.m. EST,13849,13940,11199,-2650
ISNE,2/15/2023 10 p.m. EST,12991,13080,10688,-2303
ISNE,2/15/2023 11 p.m. EST,12002,12090,10214,-1788
ISNE,2/16/2023 12 a.m. EST,11305,11230,9321,-1984
